Project,Analysis end date,Develop Id,Operationalization,Expected role,Ground-truth role (survey),Core vote (survey),Peripheral vote (survey)
Django,2015-12-06,14841,VCS EigenCent,core,core,6,0
Django,2015-12-06,14841,VCS Degree,core,core,6,0
Django,2015-12-06,14841,Mail Degree,core,core,6,0
Django,2015-12-06,14841,Commit Count,core,core,6,0
Django,2015-12-06,14841,Mail EigenCent,core,core,6,0
Django,2015-12-06,14841,Mail Count,core,core,6,0
Django,2015-12-06,14841,VCS Hierarchy,core,core,6,0
Django,2015-12-06,14841,LOC Count,core,core,6,0
Django,2015-12-06,14843,VCS EigenCent,core,core,1,0
Django,2015-12-06,14843,LOC Count,core,core,1,0
Django,2015-12-06,14843,Mail Degree,core,core,1,0
Django,2015-12-06,14843,Commit Count,core,core,1,0
Django,2015-12-06,14843,Mail EigenCent,core,core,1,0
Django,2015-12-06,14843,Mail Count,core,core,1,0
Django,2015-12-06,14843,VCS Degree,core,core,1,0
Django,2015-12-06,14843,VCS Hierarchy,core,core,1,0
Django,2015-12-06,14860,LOC Count,core,core,8,0
Django,2015-12-06,14860,Mail Count,core,core,8,0
Django,2015-12-06,14860,VCS Hierarchy,peripheral,core,8,0
Django,2015-12-06,14860,Mail EigenCent,core,core,8,0
Django,2015-12-06,14860,Mail Degree,peripheral,core,8,0
Django,2015-12-06,14860,Commit Count,core,core,8,0
Django,2015-12-06,14860,VCS EigenCent,peripheral,core,8,0
Django,2015-12-06,14860,VCS Degree,peripheral,core,8,0
Django,2015-12-06,14870,VCS Degree,core,core,1,0
Django,2015-12-06,14870,Commit Count,core,core,1,0
Django,2015-12-06,14870,VCS EigenCent,core,core,1,0
Django,2015-12-06,14870,VCS Hierarchy,core,core,1,0
Django,2015-12-06,14870,LOC Count,core,core,1,0
Django,2015-12-06,14893,Mail EigenCent,core,core,5,0
Django,2015-12-06,14893,Mail Degree,core,core,5,0
Django,2015-12-06,14893,LOC Count,core,core,5,0
Django,2015-12-06,14893,Commit Count,peripheral,core,5,0
Django,2015-12-06,14893,VCS EigenCent,peripheral,core,5,0
Django,2015-12-06,14893,VCS Degree,peripheral,core,5,0
Django,2015-12-06,14893,VCS Hierarchy,core,core,5,0
Django,2015-12-06,14893,Mail Count,core,core,5,0
Django,2015-12-06,14899,VCS Hierarchy,peripheral,peripheral,0,1
